"","GeoCode","Boro_Location","GeoCodeLabel","PassengKilled","InJury_type","NofCases"
"288",60,"Brooklyn 60th Precinct","60th Precinct",0,"PassengInjured",23
"289",7,"Manhattan 7th Precinct","7th Precinct",0,"Injury_or_Fatal_Collisions",22
"290",100,"Queens 100th Precinct","100th Precinct",0,"Injury_or_Fatal_Collisions",22
"291",123,"S.Island 123rd Precinct","123rd Precinct",0,"Injury_or_Fatal_Collisions",22
"292",60,"Brooklyn 60th Precinct","60th Precinct",0,"MotoristsInjured",22
"293",69,"Brooklyn 69th Precinct","69th Precinct",0,"PassengInjured",22
"294",108,"Queens 108th Precinct","108th Precinct",0,"PassengInjured",22
"295",115,"Queens 115th Precinct","115th Precinct",0,"PassengInjured",22
"296",67,"Brooklyn 67th Precinct","67th Precinct",0,"PedestrInjured",22
"297",90,"Brooklyn 90th Precinct","90th Precinct",0,"Bicycle",22
"298",9,"Manhattan 9th Precinct","9th Precinct",0,"Injury_or_Fatal_Collisions",21
"299",24,"Manhattan 24th Precinct","24th Precinct",0,"Injury_or_Fatal_Collisions",21
"300",66,"Brooklyn 66th Precinct","66th Precinct",0,"PassengInjured",21
"301",114,"Queens 114th Precinct","114th Precinct",0,"PassengInjured",21
"302",109,"Queens 109th Precinct","109th Precinct",0,"PedestrInjured",21
"303",114,"Queens 114th Precinct","114th Precinct",0,"PedestrInjured",21
"304",10,"Manhattan 10th Precinct","10th Precinct",0,"Injury_or_Fatal_Collisions",20
"305",28,"Manhattan 28th Precinct","28th Precinct",0,"Injury_or_Fatal_Collisions",20
"306",33,"Manhattan 33rd Precinct","33rd Precinct",0,"Injury_or_Fatal_Collisions",20
"307",76,"Brooklyn 76th Precinct","76th Precinct",0,"Injury_or_Fatal_Collisions",20
"308",101,"Queens 101st Precinct","101st Precinct",0,"Injury_or_Fatal_Collisions",20
"309",50,"Bronx 50th Precinct","50th Precinct",0,"MotoristsInjured",20
"310",61,"Brooklyn 61st Precinct","61st Precinct",0,"MotoristsInjured",20
"311",84,"Brooklyn 84th Precinct","84th Precinct",0,"MotoristsInjured",20
"312",102,"Queens 102nd Precinct","102nd Precinct",0,"PassengInjured",20
"313",41,"Bronx 41st Precinct","41st Precinct",0,"MotoristsInjured",19
"314",94,"Brooklyn 94th Precinct","94th Precinct",0,"MotoristsInjured",19
"315",62,"Brooklyn 62nd Precinct","62nd Precinct",0,"PassengInjured",19
"316",73,"Brooklyn 73rd Precinct","73rd Precinct",0,"PedestrInjured",19
"317",18,"Manhattan Midtown North Precinct","Midtown North Precinct",0,"Bicycle",19
"318",6,"Manhattan 6th Precinct","6th Precinct",0,"Injury_or_Fatal_Collisions",18
"319",34,"Manhattan 34th Precinct","34th Precinct",0,"Injury_or_Fatal_Collisions",18
