"","Doctor.Who.season","doctor.actor","ep..no","from","estimated.from","location","V1","????","Dundra System to Earth","earth","Earth","Earth and other planets","Earth/ Atlantis","Gallifrey, Earth","Indian Ocean, Planet Inter Minor","Planet: Oseidon; also village of Devesham","space"
"120","11","Smith","5","2100",NA,"n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA
"121","11","Smith","6","2100",NA,"n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA
"122","7","McCoy","145","2110",1987,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"123","5","Davison","121","2486",NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"124","3","Pertwee","69","2540",NA,"Llanfairfach, Wales",NA,NA,NA,NA,"UK",NA,NA,NA,NA,NA,NA
"125","1","Hartnell","8","2700",NA,"Paris",NA,NA,NA,NA,"France",NA,NA,NA,NA,NA,NA
"126","1","Hartnell","19","3999",1066,"Kembel",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"127","1","Hartnell","21","4000",NA,"Liverpool",NA,NA,NA,NA,"UK",NA,NA,NA,NA,NA,NA
"128","11","Smith","Special","4300",NA,"",NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA
"129","11","Smith","5","5000",NA,"Alfava Metraxis to Leadworth",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"130","11","Smith","8","5100",NA,"Germany",NA,NA,NA,NA,"Berlin",NA,NA,NA,NA,NA,NA
"131","11","Smith","13","5100",NA,"Amercia",NA,NA,NA,NA,"Utah",NA,NA,NA,NA,NA,NA
"132","11","Smith","12","5145",NA,"to Stonehenge",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
"133","1","Hartnell","12","64",2493,"Rome",NA,NA,NA,NA,"Italy",NA,NA,NA,NA,NA,NA
"134","7","McCoy","152","793",NA,"Lake Vortigern",NA,NA,NA,NA,"England",NA,NA,NA,NA,NA,NA
